,0,1
0,"['ɾ', '']",deletion
1,"['ʧ', 'ʧ']",deletion
2,"['x', '']",deletion
3,"['ʧ', 'ʧ']",deletion
4,"['ʤ', 'ʤ']",deletion
5,"['ʤ', 'ʤ']",deletion
