(
)
*
+
.
˸
>
̃
̊
̥
ˀ
ˁ
ː
ˑ
˞
ʰ
ͪ
ʱ
ʻ
ʼ
ʽ
ˈ
ˌ
 
‿
⁀
̣
̤
̇
̈
ᵖ
ᵇ
ᵗ
ͭ
ᵈ
ͩ
ͨ
ᵏ
ᵍ
ͮ
ᶿ
ˢ
ᶻ
ᶴ
ᶾ
ˣ
ͯ
ˠ
ˤ
ᵐ
ͫ
ᶬ
ⁿ
ᶯ
ᶮ
ᵑ
ᶰ
ˡ
ʳ
ͬ
ʴ
ʵ
ʶ
ʷ
ʲ
ͥ
ʸ
ͧ
ᶦ
ᶷ
ͤ
ͦ
ͣ
ᵊ
⁼
͜
͝
͠
͡
̽
ʾ
ʿ
˹
˺
˻
˼
̚
¹
²
³
⁴
⁵
⁶
⁷
⁸
⁹
˭
↑
↓
↔
↗
↘
ꜛ
ꜜ
ꜝ
ꜞ
˥
˦
˧
˨
˩
᷄
᷅
᷆
᷇
᷈
᷉
ˆ
ˇ
ˉ
ˊ
ˋ
˂
˃
˄
˅
˵
˶
̀
́
̂
̋
̌
̏
ˬ
˯
˰
˱
˲
˔
˕
˖
˗
˜
͞
͟
˽
˾
˿
͢
̉
̄
̆
̑
̒
̔
̖
̘
̙
̜
̝
̞
̟
̠
̐
̩
̪
̫
̬
̮
̯
̰
̱
̲
̳
̴
̵
̺
̻
̼
̾
̿
͆
͇
͈
͉
͊
͋
͌
͍
͎
͐
͑
͒
͓
͔
͕
͖
͗
